trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-32.03493683532306,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-110.99577523121748,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,10,-62.11514936885141,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-73.49680433608353,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-147.89914437780948,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-114.21278489734061,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-201.3034529403144,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-102.22426764463006,"{0: 20, 1: 6, 2: 1, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-33.09133978788938,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-46.36086318002292,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,10.366605151015177,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-108.54653015930971,"{0: 11, 1: 2, 2: 3, 3: 4, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-6.694820472396003,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-13.365446673114969,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-57.35908866507468,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-36.660336577680695,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,15.294842780659764,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-10.873691618150174,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,2.6096076953716727,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-1.5576242419434005,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-18.153556859044194,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,10.017703963099558,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-37.67346763720098,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-43.41203447081065,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-64.75041338990366,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,26.05173785242503,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-18.90912374978327,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-52.75940782215928,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-23.672832277851885,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,8.35867518482196,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
