trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7999200039998667, 'e': 0.89991000449985}",20,7,-80.01044123909574,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 1}",1
2,False,"{'a': 0.7997600359964003, 'e': 0.8997300404959504}",30,0,-97.13296727077787,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.7995201439712044, 'e': 0.8994601619676049}",30,0,-205.12334515969886,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
4,False,"{'a': 0.7992003998667001, 'e': 0.8991004498500376}",25,0,-192.1203888353619,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.7988008995501689, 'e': 0.8986510119939399}",25,0,-76.58994699276631,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.7983217627658482, 'e': 0.8981119831115791}",25,0,-211.4666636419271,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.7977631330751146, 'e': 0.8974835247095038}",20,0,-50.93246869628472,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.7971251777847949, 'e': 0.8967658250078941}",20,0,-117.78999250063359,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.7964080878636567, 'e': 0.8959590988466136}",20,0,-145.1568090301654,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.7956120778471355, 'e': 0.8950635875780273}",20,0,-95.78056669572314,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.794737385730366, 'e': 0.8940795589466616}",25,0,-272.46388630858667,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 5}",0
12,False,"{'a': 0.7937842728495916, 'e': 0.8930073069557903}",20,0,-96.17891567304078,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.7927530237520348, 'e': 0.8918471517210389}",20,0,-164.17108615994388,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
14,False,"{'a': 0.7916439460543198, 'e': 0.8905994393111094}",25,0,-79.72160110881623,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.7904573702895448, 'e': 0.8892645415757376}",20,0,-116.70127107458947,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.7891936497431123, 'e': 0.8878428559610012}",20,0,-154.2668780932256,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.7878531602774295, 'e': 0.886334805312108}",25,0,-119.4018878475131,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.786436300145601, 'e': 0.884740837663801}",30,0,-113.00874587824215,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.7849434897942452, 'e': 0.8830614260185257}",20,0,-44.55254380173453,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.7833751716555681, 'e': 0.8812970681125138}",20,0,-174.94819344574734,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
21,False,"{'a': 0.7817318099288398, 'e': 0.8794482861699445}",20,0,-30.581528341460047,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.7800138903514258, 'e': 0.8775156266453537}",20,12,-40.51151400133821,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.7782219199595284, 'e': 0.8754996599544691}",35,0,-212.88494959340179,"{0: 22, 1: 5, 2: 3, 3: 1, 4: 4}",0
24,False,"{'a': 0.776356426838807, 'e': 0.8734009801936575}",20,0,-1.6239634993362633,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.7744179598650452, 'e': 0.8712202048481755}",25,0,-104.83263506483775,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.7724070884350459, 'e': 0.8689579744894262}",20,5,9.68586063099222,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.7703244021879366, 'e': 0.8666149524614283}",30,10,-76.81109921259535,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
28,False,"{'a': 0.7681705107170785, 'e': 0.8641918245567128}",20,10,-37.76000438125029,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.7659460432727739, 'e': 0.8616892986818702}",25,0,-33.128640517462124,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.7636516484559767, 'e': 0.8591081045129733}",20,0,-65.41323149815713,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
31,False,"{'a': 0.761287993903213, 'e': 0.8564489931411141}",25,0,-160.23207059323414,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
32,False,"{'a': 0.7588557659629279, 'e': 0.8537127367082934}",30,0,-134.6736232011275,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.7563556693634766, 'e': 0.8509001280339107}",25,0,-83.90817641040546,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
34,False,"{'a': 0.7537884268729845, 'e': 0.848011980232107}",20,0,-61.064718458598634,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.751154778951307, 'e': 0.8450491263202198}",20,0,-24.761680969119027,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.7484554833943234, 'e': 0.8420124188186132}",20,5,-108.05769053720974,"{0: 7, 1: 1, 2: 4, 3: 2, 4: 1}",1
