trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7999200039998667, 'e': 0.89991000449985}",20,0,-22.139848197793043,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.7997600359964003, 'e': 0.8997300404959504}",25,0,-117.75352568860147,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.7995201439712044, 'e': 0.8994601619676049}",20,0,-112.97609765190691,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.7992003998667001, 'e': 0.8991004498500376}",20,0,-39.894806020683355,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.7988008995501689, 'e': 0.8986510119939399}",25,0,-123.24504745676623,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.7983217627658482, 'e': 0.8981119831115791}",30,0,-242.26867357963343,"{0: 15, 1: 0, 2: 10, 3: 2, 4: 3}",0
7,False,"{'a': 0.7977631330751146, 'e': 0.8974835247095038}",20,0,-76.93725450107844,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.7971251777847949, 'e': 0.8967658250078941}",25,0,-38.82627994888498,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.7964080878636567, 'e': 0.8959590988466136}",20,0,-7.994079638069181,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.7956120778471355, 'e': 0.8950635875780273}",25,0,-41.016260603673885,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.794737385730366, 'e': 0.8940795589466616}",20,0,-60.86722855242477,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.7937842728495916, 'e': 0.8930073069557903}",20,0,-88.85458976845526,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.7927530237520348, 'e': 0.8918471517210389}",25,9,-67.96855819900851,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.7916439460543198, 'e': 0.8905994393111094}",30,0,-169.0538787624357,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
15,False,"{'a': 0.7904573702895448, 'e': 0.8892645415757376}",25,0,-38.998836372452196,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.7891936497431123, 'e': 0.8878428559610012}",20,0,-119.38941568420465,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.7878531602774295, 'e': 0.886334805312108}",20,0,-140.55269192012625,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.786436300145601, 'e': 0.884740837663801}",20,0,-102.1076621945548,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.7849434897942452, 'e': 0.8830614260185257}",25,0,-118.93093698846484,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.7833751716555681, 'e': 0.8812970681125138}",20,0,-46.912064675106166,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
21,False,"{'a': 0.7817318099288398, 'e': 0.8794482861699445}",20,0,-183.707121675926,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
22,False,"{'a': 0.7800138903514258, 'e': 0.8775156266453537}",20,0,-101.01772777510334,"{0: 10, 1: 4, 2: 3, 3: 3, 4: 0}",0
23,False,"{'a': 0.7782219199595284, 'e': 0.8754996599544691}",30,0,-124.68547407732059,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.776356426838807, 'e': 0.8734009801936575}",20,9,-22.51494574808193,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
