trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.14595546974645,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.47011604155199,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.00480847491994,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.47634619025809,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.14927353047231,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.55737674519474,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,5,0.04909630368027962,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.81672724598401,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.84703435171122,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.10583607942027,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.04095488346023,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.30842039318529,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.90640167850749,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.4750018809614,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.19680837074874,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.19678395661344,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.78623235232297,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,2,-67.89940234069525,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.81099915218321,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.87033527601983,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-94.18045590393959,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-104.94237647877372,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-218.7993401938241,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-116.29517406672757,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-128.26333880415865,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,11,-19.35654507041456,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-300.3416747060696,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 5}",0
8,True,"{'a': 0, 'e': 0}",25,0,-213.91470851246666,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-27.452822779266068,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-51.80126528427315,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
